Index       TIME          {V(VOUT)+1.0}      {V(IN)+1.0}          V(1)       
182      4.50003125e-06    9.99702594e-01    5.99907975e+00    4.96875000e+00
183      4.50009375e-06    9.98411810e-01    5.99387630e+00    4.90625000e+00
184      4.50015625e-06    9.96869759e-01    5.98705225e+00    4.84375000e+00
185      4.50028125e-06    9.92985963e-01    5.96430820e+00    4.71875000e+00
186      4.50040625e-06    9.88882041e-01    5.93053889e+00    4.59375000e+00
187      4.50053125e-06    9.84991335e-01    5.88699348e+00    4.46875000e+00
188      4.50078125e-06    9.77949428e-01    5.77507693e+00    4.21875000e+00
189      4.50103125e-06    9.71665150e-01    5.63509328e+00    3.96875000e+00
190      4.50128125e-06    9.65818060e-01    5.47272479e+00    3.71875000e+00
191      4.50153125e-06    9.60135139e-01    5.29250078e+00    3.46875000e+00
192      4.50178125e-06    9.54373255e-01    5.09803053e+00    3.21875000e+00
193      4.50228125e-06    9.29841887e-01    4.61544366e+00    2.71875000e+00
194      4.50268249e-06    9.14278911e-01    4.17253854e+00    2.31751147e+00
195      4.50274209e-06    9.16873127e-01    4.11287898e+00    2.25790545e+00
196      4.50280170e-06    9.20039262e-01    4.05307379e+00    2.19829942e+00
197      4.50292091e-06    9.31050736e-01    3.93432240e+00    2.07908737e+00
198      4.50304012e-06    9.49703523e-01    3.81690403e+00    1.95987532e+00
199      4.50315934e-06    9.77924026e-01    3.70095818e+00    1.84066326e+00
200      4.50327855e-06    1.01817112e+00    3.58671698e+00    1.72145121e+00
201      4.50339776e-06    1.07377983e+00    3.47438430e+00    1.60223916e+00
202      4.50351697e-06    1.15002151e+00    3.36420557e+00    1.48302711e+00
203      4.50363618e-06    1.25753462e+00    3.25591810e+00    1.36381505e+00
204      4.50365330e-06    1.27683250e+00    3.24047545e+00    1.34669786e+00
205      4.50368754e-06    1.31901123e+00    3.20931055e+00    1.31246347e+00
206      4.50372177e-06    1.36927538e+00    3.17742878e+00    1.27822908e+00
207      4.50375601e-06    1.43596580e+00    3.14254072e+00    1.24399469e+00
208      4.50379024e-06    1.52889200e+00    3.10270449e+00    1.20976030e+00
209      4.50382447e-06    1.64098757e+00    3.06112913e+00    1.17552591e+00
210      4.50385871e-06    1.76391704e+00    3.01986730e+00    1.14129152e+00
211      4.50392718e-06    2.04148135e+00    2.93838376e+00    1.07282274e+00
212      4.50399565e-06    2.35937556e+00    2.85808997e+00    1.00435396e+00
213      4.50406411e-06    2.71455714e+00    2.77894183e+00    9.35885175e-01
214      4.50413258e-06    3.10306840e+00    2.70077137e+00    8.67416394e-01
215      4.50420105e-06    3.52073354e+00    2.62319242e+00    7.98947613e-01
216      4.50426952e-06    3.96392216e+00    2.54530371e+00    7.30478833e-01
217      4.50427763e-06    4.01811514e+00    2.53605179e+00    7.22372348e-01
218      4.50429384e-06    4.11814563e+00    2.52196638e+00    7.06159378e-01
219      4.50431005e-06    4.20246749e+00    2.51164702e+00    6.89946408e-01
220      4.50432627e-06    4.27542618e+00    2.50374417e+00    6.73733438e-01
221      4.50435869e-06    4.40216663e+00    2.49088267e+00    6.41307499e-01
222      4.50439112e-06    4.51096401e+00    2.47993299e+00    6.08881559e-01
223      4.50442354e-06    4.60739817e+00    2.46903443e+00    5.76455619e-01
224      4.50445597e-06    4.69375206e+00    2.45755989e+00    5.44029680e-01
225      4.50448840e-06    4.77167691e+00    2.44491561e+00    5.11603740e-01
226      4.50452082e-06    4.84223981e+00    2.43097122e+00    4.79177800e-01
227      4.50458567e-06    4.96472164e+00    2.39853634e+00    4.14325921e-01
